Subject,Predicate,Object
I cento passi film,rdf:type,Film
I cento passi film,dcterms:creator,Marco Tullio Giordana
I cento passi film,dcterms:publisher,Medusa Film
I cento passi film,dcterms:title,I cento passi
I cento passi film,dcterms:subject,Life of Peppino Impastato
I cento passi film,schema:genre,Biography
I cento passi film,fabio:hasLanguage,Italian
I cento passi film,fabio:hasPublicationYear,2000
I cento passi film,fabio:hasPublicationPlace,Milan
I cento passi film,rico:isAssociatedWithPlace,Cinisi
I cento passi song,rdf:type,Song
I cento passi song,dcterms:creator,Modena City Ramblers
I cento passi song,dcterms:publisher,BlackOut
I cento passi song,dcterms:isPartOf,"¡Viva la vida, muera la muerte!"
I cento passi song,dcterms:title,I cento passi
I cento passi song,dcterms:subject,Life of Peppino Impastato
I cento passi song,schema:genre,Combat Folk
I cento passi song,schema:genre,Folk-Rock
I cento passi song,fabio:hasLanguage,Italian
I cento passi song,fabio:hasPublicationYear,2004
I cento passi song,fabio:hasPublicationPlace,Rubiera
I cento passi screenplay,rdf:type,Screenplay
I cento passi screenplay,dcterms:hasFormat,Text
I cento passi screenplay,dcterms:creator,Marco Tullio Giordana
I cento passi screenplay,dcterms:contributor,Monica Zappelli
I cento passi screenplay,dcterms:contributor,Claudio Fava
I cento passi screenplay,dcterms:publisher,Feltrinelli
I cento passi screenplay,dcterms:title,I cento passi
I cento passi screenplay,dcterms:subject,Life of Peppino Impastato
I cento passi screenplay,schema:genre,Biography
I cento passi screenplay,fabio:hasLanguage,Italian
I cento passi screenplay,fabio:hasPublicationYear,2001
I cento passi screenplay,fabio:hasPublicationPlace,Milan
"Cinisi, la madre di Giuseppe Impastato con la foto del figlio",rdf:type,Photograph
"Cinisi, la madre di Giuseppe Impastato con la foto del figlio",dcterms:creator,Letizia Battaglia
"Cinisi, la madre di Giuseppe Impastato con la foto del figlio",rico:hasOrHadHolder,Museo di Fotografia Contemporanea
"Cinisi, la madre di Giuseppe Impastato con la foto del figlio",dcterms:title,"Cinisi, la madre di Giuseppe Impastato con la foto del figlio"
"Cinisi, la madre di Giuseppe Impastato con la foto del figlio",dcterms:subject,Felicia Bartolotta
"Cinisi, la madre di Giuseppe Impastato con la foto del figlio",dcterms:subject,Giuseppe “Peppino” Impastato
"Cinisi, la madre di Giuseppe Impastato con la foto del figlio",dcterms:created,1984
"Cinisi, la madre di Giuseppe Impastato con la foto del figlio",rico:isAssociatedWithPlace,Cinisi
"Cinisi, luogo del ritrovamento del corpo di Peppino Impastato",rdf:type,Photograph
"Cinisi, luogo del ritrovamento del corpo di Peppino Impastato",dcterms:creator,Tommaso Bonaventura
"Cinisi, luogo del ritrovamento del corpo di Peppino Impastato",dcterms:creator,Alessandro Imbriaco
"Cinisi, luogo del ritrovamento del corpo di Peppino Impastato",rico:hasOrHadHolder,Museo di Fotografia Contemporanea
"Cinisi, luogo del ritrovamento del corpo di Peppino Impastato",dcterms:title,Corpi di reato. Cinisi (Palermo) - Strada - Passaggio a livello - Montagna
"Cinisi, luogo del ritrovamento del corpo di Peppino Impastato",dcterms:subject,Cinisi
"Cinisi, luogo del ritrovamento del corpo di Peppino Impastato",dcterms:created,2012
"Cinisi, luogo del ritrovamento del corpo di Peppino Impastato",rico:isAssociatedWithPlace,Cinisi
"Lunga è la notte: poesie, scritti, documenti",rdf:type,Book
"Lunga è la notte: poesie, scritti, documenti",dcterms:creator,Giuseppe “Peppino” Impastato
"Lunga è la notte: poesie, scritti, documenti",dcterms:contributor,Umberto Sabatino
"Lunga è la notte: poesie, scritti, documenti",dcterms:publisher,Centro Siciliano di Documentazione Impastato
"Lunga è la notte: poesie, scritti, documenti",dcterms:title,Lunga è la notte
"Lunga è la notte: poesie, scritti, documenti",dcterms:subject,Mafia
"Lunga è la notte: poesie, scritti, documenti",dcterms:subject,Communism
"Lunga è la notte: poesie, scritti, documenti",schema:genre,Poetry
"Lunga è la notte: poesie, scritti, documenti",fabio:hasLanguage,Italian
"Lunga è la notte: poesie, scritti, documenti",fabio:hasPublicationYear,2003
"Lunga è la notte: poesie, scritti, documenti",fabio:hasPublicationPlace,Palermo
La mafia in casa mia,rdf:type,Book
La mafia in casa mia,dcterms:creator,Felicia Bartolotta
La mafia in casa mia,dcterms:contributor,Umberto Sabatino
La mafia in casa mia,dcterms:contributor,Anna Puglisi
La mafia in casa mia,dcterms:publisher,La Luna
