Subject,Predicate,Object
Giuseppe “Peppino” Impastato,rdf:type,Person
Giuseppe “Peppino” Impastato,dbo:birthName,Giuseppe Impastato
Giuseppe “Peppino” Impastato,dbo:sex,Male
Giuseppe “Peppino” Impastato,dbo:birthPlace,Cinisi
Giuseppe “Peppino” Impastato,dbo:deathPlace,Cinisi
Giuseppe “Peppino” Impastato,dbo:birthDate,1948-01-05
Giuseppe “Peppino” Impastato,dbo:deathDate,1978-05-09
Giuseppe “Peppino” Impastato,dbo:deathCause,Murder
Giuseppe “Peppino” Impastato,core:occupation,Journalist
Giuseppe “Peppino” Impastato,core:occupation,Activist
Giuseppe “Peppino” Impastato,core:occupation,Radio Presenter
Giuseppe “Peppino” Impastato,core:occupation,Writer
Giuseppe “Peppino” Impastato,foaf:isPrimaryTopicOf,I cento passi
Giuseppe “Peppino” Impastato,foaf:isPrimaryTopicOf,I cento passi (screenplay)
Giuseppe “Peppino” Impastato,foaf:isPrimaryTopicOf,"Peppino Impastato, un giullare contro la mafia"
Giuseppe “Peppino” Impastato,foaf:isPrimaryTopicOf,I cento passi
Giuseppe “Peppino” Impastato,foaf:isPrimaryTopicOf,La mafia in casa mia
Giuseppe “Peppino” Impastato,rico:isAuthorOf,"Lunga è la notte: poesie, scritti, documenti"
Gaetano Badalamenti,rdf:type,Person
Gaetano Badalamenti,dbo:birthName,Gaetano Badalamenti
Gaetano Badalamenti,dbo:sex,Male
Gaetano Badalamenti,dbo:birthPlace,Cinisi
Gaetano Badalamenti,dbo:deathPlace,Ayer
Gaetano Badalamenti,dbo:birthDate,1923-09-14
Gaetano Badalamenti,dbo:deathDate,2004-04-29
Gaetano Badalamenti,dbo:deathCause,Natural death
Gaetano Badalamenti,core:occupation,Mafioso
Gaetano Badalamenti,foaf:isPrimaryTopicOf,"Delitto Impastato, ergastolo a Badalamenti"
Gaetano Badalamenti,foaf:isPrimaryTopicOf,Peppino Impastato: anatomia di un depistaggio
Gaetano Badalamenti,core:organization,Cosa Nostra
Felicia Bartolotta Impastato,rdf:type,Person
Felicia Bartolotta Impastato,dbo:birthName,Felicia Bartolotta
Felicia Bartolotta Impastato,dbo:sex,Female
Felicia Bartolotta Impastato,dbo:birthPlace,Cinisi
Felicia Bartolotta Impastato,dbo:deathPlace,Cinisi
Felicia Bartolotta Impastato,dbo:birthDate,1916-05-24
Felicia Bartolotta Impastato,dbo:deathDate,2004-12-07
Felicia Bartolotta Impastato,dbo:deathCause,Natural death
Felicia Bartolotta Impastato,Core:occupation,Activist
Felicia Bartolotta Impastato,Core:occupation,Writer
Felicia Bartolotta Impastato,foaf:isPrimaryTopicOf,"Cinisi, la madre di Giuseppe Impastato con la foto del figlio"
Felicia Bartolotta Impastato,rico:isAuthorOf,La mafia in casa mia
Marco Tullio Giordana,rdf:type,Person
Marco Tullio Giordana,dbo:birthName,Marco Tullio Giordana
Marco Tullio Giordana,dbo:sex,Male
Marco Tullio Giordana,dbo:birthPlace,Milan
Marco Tullio Giordana,dbo:birthDate,1950-10-01
Marco Tullio Giordana,core:occupation,Director
Marco Tullio Giordana,core:occupation,Screenwriter
Marco Tullio Giordana,rico:isAuthorOf,I cento passi
Monica Zappelli,rdf:type,Person
Monica Zappelli,dbo:birthName,Monica Zappelli
Monica Zappelli,dbo:sex,Female
Monica Zappelli,dbo:birthPlace,Pavia
Monica Zappelli,dbo:birthDate,1966-06-25
Monica Zappelli,core:occupation,Screenwriter
Monica Zappelli,rico:isAuthorOf,I cento passi
Claudio Fava,rdf:type,Person
Claudio Fava,dbo:birthName,Giovanni Giuseppe Claudio Fava
Claudio Fava,dbo:sex,Male
Claudio Fava,dbo:birthPlace,Catania
Claudio Fava,dbo:birthDate,1957-04-15
Claudio Fava,core:occupation,Politician
Claudio Fava,core:occupation,Journalist
Claudio Fava,core:occupation,Writer
Claudio Fava,core:occupation,Screenwriter
