Subject,Predicate,Object
<person/giuseppe-peppino-impastato>,rdf:type,foaf:Person
<person/giuseppe-peppino-impastato>,dbo:birthName,“Giuseppe Impastato”^^xsd:string
<person/giuseppe-peppino-impastato>,dbo:sex,lcdgt:dg2015060003
<person/giuseppe-peppino-impastato>,dbo:birthPlace,<place/cinisi>
<person/giuseppe-peppino-impastato>,dbo:deathPlace,<place/cinisi>
<person/giuseppe-peppino-impastato>,dbo:birthDate,“1948-01-05”^^xsd:date
<person/giuseppe-peppino-impastato>,dbo:deathDate,“1978-05-09”^^xsd:date
<person/giuseppe-peppino-impastato>,dbo:deathCause,"lcsh:sh85088613"
<person/giuseppe-peppino-impastato>,core:occupation,"wd:Q1930187 
<person/giuseppe-peppino-impastato>,core:occupation,"wd:Q15253558 
<person/giuseppe-peppino-impastato>,core:occupation,"wd:Q2722764"
<person/giuseppe-peppino-impastato>,core:occupation,"wd:Q36180"
<person/giuseppe-peppino-impastato>,foaf:isPrimaryTopicOf,<object/film/cento-passi>
<person/giuseppe-peppino-impastato>,foaf:isPrimaryTopicOf,<object/book/cento-passi>
<person/giuseppe-peppino-impastato>,foaf:isPrimaryTopicOf,<object/book/impastato-giullare-mafia>
<person/giuseppe-peppino-impastato>,foaf:isPrimaryTopicOf,<object/song/cento-passi>
<person/giuseppe-peppino-impastato>,foaf:isPrimaryTopicOf,<object/book/mafia-in-casa-mia>
<person/giuseppe-peppino-impastato>,rico:isAuthorOf,<object/book/poetry/lunga-la-notte>
<person/giuseppe-peppino-impastato>,owl:sameAs,"viaf:25411631"
<person/giuseppe-peppino-impastato>,owl:sameAs,wd:Q982793
<person/giuseppe-peppino-impastato>,owl:sameAs,lcnaf:n95117648
<person/giuseppe-peppino-impastato>,owl:sameAs,"http://id.worldcat.org/fast/366343/"
<object/film/cento-passi>,rdf:type,"wd:Q11424"
<object/film/cento-passi>,dcterms:creator,"viaf:62651286"
<object/film/cento-passi>,dcterms:publisher,"viaf:137552235"
<object/film/cento-passi>,dcterms:title,“I cento passi”^^xsd:string
<object/film/cento-passi>,dcterms:subject,<person/giuseppe-peppino-impastato>
<object/film/cento-passi>,schema:genre,"lcgf:gf2011026089"
<object/film/cento-passi>,fabio:hasLanguage,lcsh:sh85068806
<object/film/cento-passi>,fabio:hasPublicationYear,“2000”^^xsd:gYear
<object/film/cento-passi>,fabio:hasPublicationPlace,"gn:3173435"
<object/film/cento-passi>,rico:isAssociatedWithPlace,<place/cinisi>
<object/film/cento-passi>,owl:sameAs,wd:Q165183
<place/cinisi>,rdf:type,dbo:Place
<place/cinisi>,dbo:location,gn:2524987
<place/cinisi>,dbo:locationCity,"gn:2523920"
<place/cinisi>,dbo:locationCountry,"gn:3175395"
<place/cinisi>,gn:countryCode,"“IT, ITA, 380”^^xsd:strings"
<place/cinisi>,gn:lat,“38.0939”^^xsd:decimal
<place/cinisi>,gn:long,“13.0604”^^xsd:decimal
<place/cinisi>,rico:isAssociatedWith,<object/photo/cinisi-felicia-impastato>
<place/cinisi>,rico:isAssociatedWith,<object/photo/cinisi-ferrovia>
<event/murder-impastato>,rdf:type,event:Event
<event/murder-impastato>,event:involvedAgent,<person/giuseppe-peppino-impastato>
<event/murder-impastato>,event:involvedAgent,<person/gaetano-badalamenti>
<event/murder-impastato>,rico:isEventAssociatedWith,“1978-05-09”^^xsd:date
<event/murder-impastato>,event:atPlace,<place/cinisi>
<event/murder-impastato>,foaf:isPrimaryTopicOf,<object/article/lastampa/ergastolo-badalamenti-2002-04-11>
<event/murder-impastato>,foaf:isPrimaryTopicOf,<object/book/impastato-anatomia-depistaggio>
<person/gaetano-badalamenti>,rdf:type,foaf:Person
<person/gaetano-badalamenti>,dbo:birthName,“Gaetano Badalamenti”^^xsd:string
<person/gaetano-badalamenti>,dbo:sex,lcdgt:dg2015060004
<person/gaetano-badalamenti>,dbo:birthPlace,<place/cinisi>
<person/gaetano-badalamenti>,dbo:deathPlace,"gn:2661654"
<person/gaetano-badalamenti>,dbo:birthDate,“1923-09-14”^^xsd:date
<person/gaetano-badalamenti>,dbo:deathDate,“2004-04-292^^xsd:date
<person/gaetano-badalamenti>,dbo:deathCause,wd:Q3739104
<person/gaetano-badalamenti>,core:occupation,lcdgt:dg2015060169
<person/gaetano-badalamenti>,foaf:isPrimaryTopicOf,<object/article/lastampa/ergastolo-badalamenti-2002-04-11>
<person/gaetano-badalamenti>,foaf:isPrimaryTopicOf,<object/book/impastato-anatomia-depistaggio>
<person/gaetano-badalamenti>,core:organization,wd:Q1458155
<person/gaetano-badalamenti>,owl:sameAs,"viaf:60157691"
<person/gaetano-badalamenti>,owl:sameAs,wd:Q1392499
<object/article/lastampa/ergastolo-badalamenti-2002-04-11>,rdf:type,lcsh:sh85046816
<object/article/lastampa/ergastolo-badalamenti-2002-04-11>,dcterms:creator,viaf:243970984
<object/article/lastampa/ergastolo-badalamenti-2002-04-11>,dcterms:publisher,wd:Q923353
<object/article/lastampa/ergastolo-badalamenti-2002-04-11>,dcterms:isPartOf,<object/newspaper/edition/2002-04-12>
<object/article/lastampa/ergastolo-badalamenti-2002-04-11>,dcterms:title,"“Delitto Impastato, ergastolo a Badalamenti”^^xsd:string"
<object/article/lastampa/ergastolo-badalamenti-2002-04-11>,dcterms:subject,<person/gaetano-badalamenti>
<object/article/lastampa/ergastolo-badalamenti-2002-04-11>,dcterms:subject,<person/giuseppe-peppino-impastato>
<object/article/lastampa/ergastolo-badalamenti-2002-04-11>,schema:genre,schema:NewsArticle
<object/article/lastampa/ergastolo-badalamenti-2002-04-11>,fabio:hasLanguage,lcsh:sh85068806
<object/article/lastampa/ergastolo-badalamenti-2002-04-11>,fabio:hasPublicationYear,“2002”^^xsd:gYear
<object/article/lastampa/ergastolo-badalamenti-2002-04-11>,fabio:hasPublicationPlace,gn:3165524
<object/photo/cinisi-felicia-impastato>,rdf:type,lcsh:sh85101195
<object/photo/cinisi-felicia-impastato>,dcterms:creator,viaf:114882242
<object/photo/cinisi-felicia-impastato>,rico:hasOrHadHolder,lcnaf:no2005105843
<object/photo/cinisi-felicia-impastato>,dcterms:title,"“Cinisi, la madre di Giuseppe Impastato con la foto del figlio”^^xsd:string"
<object/photo/cinisi-felicia-impastato>,dcterms:subject,<person/felicia-impastato>
<object/photo/cinisi-felicia-impastato>,dcterms:subject,<person/giuseppe-impastato>
<object/photo/cinisi-felicia-impastato>,dcterms:created,“1984”^^gYear
<object/photo/cinisi-felicia-impastato>,rico:isAssociatedWithPlace,<place/cinisi>
<person/felicia-impastato>,rdf:type,foaf:Person
<person/felicia-impastato>,dbo:birthName,“Felicia Bartolotta”^^xsd:string
<person/felicia-impastato>,dbo:sex,lcdgt:dg2015060004
<person/felicia-impastato>,dbo:birthPlace,<place/cinisi>
<person/felicia-impastato>,dbo:deathPlace,<place/cinisi>
<person/felicia-impastato>,dbo:birthDate,“1916-05-24”^^xsd:date
<person/felicia-impastato>,dbo:deathDate,“2004-12-07”^^xsd:date
<person/felicia-impastato>,dbo:deathCause,wd:Q3739104
<person/felicia-impastato>,core:occupation,wd:Q15253558
<person/felicia-impastato>,core:occupation,wd:Q36180
