Item Title,Item Type,Provider,Metadata standard
"Delitto Impastato, ergastolo a Badalamenti",Article,Archivio storico LaStampa,"EAD International standard for archival finding aids, we have chosen it because the archive does not specify the standard used for the metadata of the items"
Peppino Impastato: anatomia di un depistaggio,Parliamentary Report,Opac SBN,ISBD
I cento passi,Film,IMDb,CWS EN 15907 **
"Peppino Impastato, un giullare contro la mafia",Graphic Novel,Opac SBN,ISBD
"Lunga è la notte: poesie, scritti, documenti",Book,Opac SBN,ISBD
"Cinisi, la madre di Giuseppe Impastato con la foto del figlio",Photograph,Museo di Fotografia Contemporanea,ICCD-F
"Cinisi, luogo del ritrovamento del corpo di Peppino Impastato",Photograph,Museo di Fotografia Contemporanea,ICCD-F
I cento passi,Film script,Opac SBN,ISBD
La mafia in casa mia,Book,Opac SBN,ISBD
I cento passi,Song,MusicBrainz,MMD
